,ID,Product_Code,Max
0,0,P1,21
1,1,P2,10
2,2,P3,14
3,3,P4,19
4,4,P5,18
5,5,P6,11
6,6,P7,10
7,7,P8,15
8,8,P9,18
9,9,P10,33
10,10,P11,21
11,11,P12,9
12,12,P13,19
13,13,P14,25
14,14,P15,52
15,15,P16,54
16,16,P17,52
17,17,P18,48
18,18,P19,48
19,19,P20,17
20,20,P21,15
21,21,P22,18
22,22,P23,9
23,23,P24,53
24,24,P25,48
25,25,P26,21
26,26,P27,52
27,27,P28,44
28,28,P29,25
29,29,P30,46
30,30,P31,17
31,31,P32,16
32,32,P33,19
33,33,P34,55
34,34,P35,49
35,35,P36,61
36,36,P37,56
37,37,P38,61
38,38,P39,54
39,39,P40,51
40,40,P41,50
41,41,P42,48
42,42,P43,61
43,43,P44,50
44,44,P45,54
45,45,P46,53
46,46,P47,58
47,47,P48,52
48,48,P49,49
49,49,P50,17
50,50,P51,28
51,51,P52,48
52,52,P53,10
53,53,P54,52
54,54,P55,47
55,55,P56,47
56,56,P57,51
57,57,P58,48
58,58,P59,14
59,59,P60,51
60,60,P61,50
61,61,P62,27
62,62,P63,55
63,63,P64,52
64,64,P65,17
65,65,P66,50
66,66,P67,47
67,67,P68,19
68,68,P69,48
69,69,P70,50
70,70,P71,15
71,71,P72,55
72,72,P73,56
73,73,P74,19
74,74,P75,56
75,75,P76,51
76,76,P77,10
77,77,P78,47
78,78,P79,53
79,79,P80,51
80,80,P81,16
81,81,P82,17
82,82,P83,63
83,83,P84,62
84,84,P85,52
85,85,P86,46
86,86,P87,42
87,87,P88,45
88,88,P89,49
89,89,P90,47
90,90,P91,16
91,91,P92,59
92,92,P93,17
93,93,P94,16
94,94,P95,21
95,95,P96,57
96,96,P97,49
97,97,P98,9
98,98,P99,21
99,99,P100,29
100,100,P101,52
101,101,P102,44
102,102,P103,14
103,103,P104,10
104,104,P105,8
105,105,P106,21
106,106,P107,27
107,107,P108,9
108,108,P109,17
109,109,P110,18
110,110,P111,14
111,111,P112,57
112,112,P113,43
113,113,P114,16
114,114,P115,18
115,115,P116,16
116,116,P117,10
117,117,P118,22
118,118,P119,49
119,119,P120,52
120,120,P121,16
121,121,P122,19
122,122,P123,7
123,123,P124,11
124,124,P125,18
125,125,P126,11
126,126,P127,7
127,127,P128,50
128,128,P129,52
129,129,P130,53
130,130,P131,49
131,131,P132,58
132,132,P133,48
133,133,P134,57
134,134,P135,56
135,135,P136,55
136,136,P137,54
137,137,P138,51
138,138,P139,48
139,139,P140,46
140,140,P141,45
141,141,P142,46
142,142,P143,49
143,143,P144,21
144,144,P145,19
145,145,P146,16
146,146,P147,16
147,147,P148,9
148,148,P149,14
149,149,P150,9
150,150,P151,12
151,151,P152,16
152,152,P153,22
153,153,P154,16
154,154,P155,10
155,155,P156,8
156,156,P157,15
157,157,P158,9
158,158,P159,9
159,159,P160,16
160,160,P161,9
161,161,P162,18
162,162,P163,11
163,163,P164,19
164,164,P165,16
165,165,P166,21
166,166,P167,48
167,167,P168,59
168,168,P169,52
169,169,P170,52
170,170,P171,15
171,171,P172,50
172,172,P173,54
173,173,P174,53
174,174,P175,53
175,175,P176,53
176,176,P177,56
177,177,P178,53
178,178,P179,55
179,179,P180,55
180,180,P181,50
181,181,P182,47
182,182,P183,50
183,183,P184,52
184,184,P185,50
185,185,P186,51
186,186,P187,47
187,187,P188,52
188,188,P189,51
189,189,P190,54
190,190,P191,57
191,191,P192,48
192,192,P193,60
193,193,P194,43
194,194,P195,12
195,195,P196,47
196,196,P197,18
197,197,P198,20
198,198,P199,8
199,199,P200,35
200,200,P201,9
201,201,P202,25
202,202,P203,10
203,203,P204,5
204,204,P205,28
205,205,P206,6
206,206,P207,12
207,207,P208,51
208,208,P209,17
209,209,P210,23
210,210,P211,19
211,211,P212,3
212,212,P213,2
213,213,P214,4
214,214,P215,1
215,215,P216,2
216,216,P217,1
217,217,P218,2
218,218,P219,2
219,219,P220,2
220,220,P221,2
221,221,P222,2
222,222,P223,2
223,223,P224,2
224,224,P225,1
225,225,P226,2
226,226,P227,2
227,227,P228,1
228,228,P229,1
229,229,P230,1
230,230,P231,2
231,231,P232,1
232,232,P233,1
233,233,P234,2
234,234,P235,1
235,235,P236,1
236,236,P237,2
237,237,P238,2
238,238,P239,2
239,239,P240,3
240,240,P241,2
241,241,P242,2
242,242,P243,1
243,243,P244,2
244,244,P245,3
245,245,P246,2
246,246,P247,3
247,247,P248,2
248,248,P249,1
249,249,P250,1
250,250,P251,1
251,251,P252,2
252,252,P253,1
253,253,P254,1
254,254,P255,8
255,255,P256,1
256,256,P257,3
257,257,P258,2
258,258,P259,1
259,259,P260,1
260,260,P261,36
261,261,P262,63
262,262,P263,44
263,263,P264,16
264,264,P265,6
265,265,P266,19
266,266,P267,16
267,267,P268,35
268,268,P269,25
269,269,P270,38
270,270,P271,9
271,271,P272,3
272,272,P273,2
273,273,P274,2
274,274,P275,2
275,275,P276,2
276,276,P277,2
277,277,P278,1
278,278,P279,1
279,279,P280,1
280,280,P281,4
281,281,P282,3
282,282,P283,5
283,283,P284,29
284,284,P285,18
285,285,P286,37
286,286,P287,6
287,287,P288,3
288,288,P289,2
289,289,P290,2
290,290,P291,9
291,291,P292,10
292,292,P293,10
293,293,P294,25
294,294,P295,11
295,295,P296,10
296,296,P297,10
297,297,P298,9
298,298,P299,16
299,299,P300,9
300,300,P301,11
301,301,P302,9
302,302,P303,8
303,303,P304,16
304,304,P305,12
305,305,P306,9
306,306,P307,13
307,307,P308,10
308,308,P309,16
309,309,P310,9
310,310,P311,12
311,311,P312,11
312,312,P313,10
313,313,P314,18
314,314,P315,13
315,315,P316,10
316,316,P317,9
317,317,P318,9
318,318,P319,16
319,319,P320,10
320,320,P321,11
321,321,P322,8
322,322,P323,8
323,323,P324,23
324,324,P325,12
325,325,P326,11
326,326,P327,9
327,327,P328,9
328,328,P329,10
329,329,P330,10
330,330,P331,10
331,331,P332,15
332,332,P333,15
333,333,P334,22
334,334,P335,8
335,335,P336,9
336,336,P337,8
337,337,P338,9
338,338,P339,4
339,339,P340,3
340,340,P341,8
341,341,P342,6
342,342,P343,6
343,343,P344,4
344,344,P345,8
345,345,P346,2
346,346,P347,2
347,347,P348,2
348,348,P349,2
349,349,P350,2
350,350,P351,1
351,351,P352,1
352,352,P354,1
353,353,P355,1
354,354,P356,10
355,355,P357,7
356,356,P358,5
357,357,P359,10
358,358,P360,3
359,359,P361,6
360,360,P362,4
361,361,P363,2
362,362,P364,27
363,363,P365,10
364,364,P366,9
365,365,P367,7
366,366,P368,12
367,367,P369,9
368,368,P370,11
369,369,P371,7
370,370,P372,7
371,371,P373,5
372,372,P374,5
373,373,P375,3
374,374,P376,2
375,375,P377,3
376,376,P378,2
377,377,P379,2
378,378,P380,2
379,379,P381,1
380,380,P382,1
381,381,P383,1
382,382,P384,2
383,383,P386,1
384,384,P387,10
385,385,P388,9
386,386,P389,7
387,387,P390,7
388,388,P391,9
389,389,P392,11
390,390,P393,5
391,391,P394,9
392,392,P395,8
393,393,P396,6
394,394,P397,20
395,395,P398,21
396,396,P399,26
397,397,P400,31
398,398,P401,10
399,399,P402,9
400,400,P403,28
401,401,P404,18
402,402,P405,35
403,403,P406,29
404,404,P407,31
405,405,P408,23
406,406,P409,73
407,407,P410,32
408,408,P411,35
409,409,P412,8
410,410,P413,18
411,411,P414,9
412,412,P415,7
413,413,P416,5
414,414,P417,2
415,415,P418,3
416,416,P419,2
417,417,P420,1
418,418,P421,1
419,419,P422,5
420,420,P423,1
421,421,P424,2
422,422,P425,1
423,423,P426,1
424,424,P427,2
425,425,P428,1
426,426,P429,20
427,427,P430,24
428,428,P431,14
429,429,P432,20
430,430,P433,16
431,431,P434,9
432,432,P435,30
433,433,P436,25
434,434,P437,13
435,435,P438,3
436,436,P439,2
437,437,P440,1
438,438,P441,1
439,439,P442,2
440,440,P443,2
441,441,P444,1
442,442,P445,3
443,443,P446,3
444,444,P447,3
445,445,P448,4
446,446,P449,4
447,447,P450,3
448,448,P451,2
449,449,P452,3
450,450,P453,2
451,451,P454,2
452,452,P455,3
453,453,P456,3
454,454,P457,2
455,455,P458,2
456,456,P459,2
457,457,P460,2
458,458,P461,2
459,459,P462,1
460,460,P463,1
461,461,P464,2
462,462,P465,1
463,463,P466,1
464,464,P467,1
465,465,P468,1
466,466,P469,1
467,467,P470,2
468,468,P471,1
469,469,P472,2
470,470,P473,1
471,471,P474,1
472,472,P475,7
473,473,P476,4
474,474,P477,3
475,475,P478,5
476,476,P479,5
477,477,P480,3
478,478,P481,5
479,479,P482,3
480,480,P483,2
481,481,P484,10
482,482,P485,16
483,483,P486,30
484,484,P487,20
485,485,P488,21
486,486,P489,8
487,487,P490,18
488,488,P491,30
489,489,P492,21
490,490,P493,20
491,491,P494,30
492,492,P495,31
493,493,P496,19
494,494,P497,9
495,495,P498,8
496,496,P499,18
497,497,P500,13
498,498,P501,11
499,499,P502,22
500,500,P503,36
501,501,P504,21
502,502,P505,28
503,503,P506,23
504,504,P507,36
505,505,P508,17
506,506,P509,13
507,507,P510,15
508,508,P511,42
509,509,P512,35
510,510,P513,27
511,511,P514,21
512,512,P515,17
513,513,P516,31
514,514,P517,22
515,515,P518,18
516,516,P519,30
517,517,P520,22
518,518,P521,21
519,519,P522,19
520,520,P523,19
521,521,P524,22
522,522,P525,21
523,523,P526,34
524,524,P527,19
525,525,P528,22
526,526,P529,19
527,527,P530,24
528,528,P531,10
529,529,P532,18
530,530,P533,41
531,531,P534,19
532,532,P535,37
533,533,P536,22
534,534,P537,29
535,535,P538,28
536,536,P539,16
537,537,P540,27
538,538,P541,21
539,539,P542,21
540,540,P543,17
541,541,P544,20
542,542,P545,28
543,543,P546,21
544,544,P547,17
545,545,P548,54
546,546,P549,44
547,547,P550,19
548,548,P551,16
549,549,P552,15
550,550,P553,9
551,551,P554,32
552,552,P555,20
553,553,P556,32
554,554,P557,46
555,555,P558,21
556,556,P559,22
557,557,P560,18
558,558,P561,11
559,559,P562,9
560,560,P563,19
561,561,P564,26
562,562,P565,15
563,563,P566,30
564,564,P567,9
565,565,P568,11
566,566,P569,7
567,567,P570,8
568,568,P571,13
569,569,P572,5
570,570,P573,11
571,571,P574,2
572,572,P575,3
573,573,P576,2
574,574,P577,3
575,575,P578,3
576,576,P579,1
577,577,P580,7
578,578,P581,9
579,579,P582,6
580,580,P583,7
581,581,P584,7
582,582,P585,4
583,583,P586,14
584,584,P587,9
585,585,P588,6
586,586,P589,7
587,587,P590,9
588,588,P591,8
589,589,P592,6
590,590,P593,8
591,591,P594,9
592,592,P595,10
593,593,P596,12
594,594,P597,6
595,595,P598,25
596,596,P599,16
597,597,P600,8
598,598,P601,6
599,599,P602,4
600,600,P603,3
601,601,P604,2
602,602,P605,5
603,603,P606,5
604,604,P607,1
605,605,P608,5
606,606,P609,10
607,607,P610,11
608,608,P611,10
609,609,P612,26
610,610,P613,43
611,611,P614,14
612,612,P615,50
613,613,P616,10
614,614,P617,52
615,615,P618,51
616,616,P619,52
617,617,P620,42
618,618,P621,62
619,619,P622,46
620,620,P623,45
621,621,P624,17
622,622,P625,17
623,623,P626,18
624,624,P627,18
625,625,P628,14
626,626,P629,18
627,627,P630,26
628,628,P631,18
629,629,P632,19
630,630,P633,17
631,631,P634,17
632,632,P635,16
633,633,P636,19
634,634,P637,9
635,635,P638,28
636,636,P639,2
637,637,P640,34
638,638,P641,6
639,639,P642,8
640,640,P643,2
641,641,P644,1
642,642,P646,1
643,643,P647,2
644,644,P649,1
645,645,P650,1
646,646,P651,2
647,647,P652,2
648,648,P653,3
649,649,P654,1
650,650,P655,2
651,651,P656,1
652,652,P657,1
653,653,P658,2
654,654,P659,1
655,655,P660,2
656,656,P661,1
657,657,P662,1
658,658,P663,3
659,659,P664,3
660,660,P665,3
661,661,P666,2
662,662,P667,1
663,663,P668,1
664,664,P669,1
665,665,P670,3
666,666,P671,2
667,667,P672,2
668,668,P673,9
669,669,P674,20
670,670,P675,10
671,671,P676,10
672,672,P677,1
673,673,P678,1
674,674,P679,2
675,675,P680,1
676,676,P681,1
677,677,P682,2
678,678,P683,1
679,679,P684,1
680,680,P685,2
681,681,P686,6
682,682,P687,4
683,683,P688,3
684,684,P689,4
685,685,P690,3
686,686,P691,2
687,687,P692,8
688,688,P693,7
689,689,P694,2
690,690,P695,2
691,691,P696,2
692,692,P697,4
693,693,P698,7
694,694,P699,5
695,695,P700,5
696,696,P701,9
697,697,P702,17
698,698,P703,10
699,699,P704,4
700,700,P705,6
701,701,P706,5
702,702,P707,4
703,703,P708,1
704,704,P711,1
705,705,P712,1
706,706,P713,2
707,707,P714,1
708,708,P715,1
709,709,P716,1
710,710,P717,1
711,711,P718,2
712,712,P719,1
713,713,P720,2
714,714,P721,1
715,715,P722,1
716,716,P724,1
717,717,P726,4
718,718,P727,12
719,719,P728,4
720,720,P729,2
721,721,P730,1
722,722,P731,3
723,723,P732,7
724,724,P733,3
725,725,P734,2
726,726,P735,4
727,727,P736,6
728,728,P737,7
729,729,P738,3
730,730,P739,2
731,731,P740,1
732,732,P741,2
733,733,P742,4
734,734,P743,4
735,735,P744,1
736,736,P745,12
737,737,P746,6
738,738,P747,9
739,739,P748,4
740,740,P749,3
741,741,P750,3
742,742,P751,3
743,743,P752,5
744,744,P753,3
745,745,P754,3
746,746,P755,3
747,747,P756,2
748,748,P757,2
749,749,P758,2
750,750,P759,2
751,751,P760,1
752,752,P761,1
753,753,P762,6
754,754,P763,1
755,755,P764,12
756,756,P765,4
757,757,P766,3
758,758,P767,6
759,759,P768,11
760,760,P769,8
761,761,P770,2
762,762,P771,2
763,763,P772,2
764,764,P773,2
765,765,P774,1
766,766,P775,1
767,767,P776,2
768,768,P777,2
769,769,P778,2
770,770,P779,4
771,771,P780,3
772,772,P781,30
773,773,P782,8
774,774,P783,27
775,775,P784,8
776,776,P785,5
777,777,P786,6
778,778,P787,7
779,779,P788,11
780,780,P789,10
781,781,P790,8
782,782,P791,13
783,783,P792,4
784,784,P793,9
785,785,P794,5
786,786,P795,3
787,787,P796,10
788,788,P797,9
789,789,P798,6
790,790,P799,11
791,791,P800,5
792,792,P801,12
793,793,P802,4
794,794,P803,9
795,795,P804,7
796,796,P805,8
797,797,P806,11
798,798,P807,6
799,799,P808,14
800,800,P809,4
801,801,P810,3
802,802,P811,9
803,803,P812,6
804,804,P813,8
805,805,P814,16
806,806,P815,3
807,807,P816,7
808,808,P817,4
809,809,P818,2
810,810,P819,3
