,ID,Product_Code,Min
0,0,P1,3
1,1,P2,0
2,2,P3,3
3,3,P4,2
4,4,P5,3
5,5,P6,0
6,6,P7,0
7,7,P8,3
8,8,P9,3
9,9,P10,9
10,10,P11,5
11,11,P12,0
12,12,P13,0
13,13,P14,3
14,14,P15,19
15,15,P16,22
16,16,P17,17
17,17,P18,20
18,18,P19,19
19,19,P20,2
20,20,P21,3
21,21,P22,1
22,22,P23,0
23,23,P24,14
24,24,P25,19
25,25,P26,3
26,26,P27,21
27,27,P28,22
28,28,P29,4
29,29,P30,16
30,30,P31,1
31,31,P32,3
32,32,P33,4
33,33,P34,23
34,34,P35,24
35,35,P36,19
36,36,P37,22
37,37,P38,20
38,38,P39,20
39,39,P40,22
40,40,P41,19
41,41,P42,15
42,42,P43,20
43,43,P44,16
44,44,P45,16
45,45,P46,14
46,46,P47,19
47,47,P48,17
48,48,P49,21
49,49,P50,3
50,50,P51,7
51,51,P52,19
52,52,P53,0
53,53,P54,21
54,54,P55,20
55,55,P56,19
56,56,P57,14
57,57,P58,20
58,58,P59,3
59,59,P60,18
60,60,P61,18
61,61,P62,8
62,62,P63,18
63,63,P64,18
64,64,P65,4
65,65,P66,19
66,66,P67,20
67,67,P68,2
68,68,P69,19
69,69,P70,18
70,70,P71,3
71,71,P72,18
72,72,P73,13
73,73,P74,4
74,74,P75,22
75,75,P76,15
76,76,P77,0
77,77,P78,18
78,78,P79,21
79,79,P80,17
80,80,P81,3
81,81,P82,4
82,82,P83,20
83,83,P84,21
84,84,P85,14
85,85,P86,19
86,86,P87,18
87,87,P88,18
88,88,P89,12
89,89,P90,18
90,90,P91,4
91,91,P92,19
92,92,P93,1
93,93,P94,4
94,94,P95,5
95,95,P96,21
96,96,P97,17
97,97,P98,0
98,98,P99,3
99,99,P100,5
100,100,P101,15
101,101,P102,19
102,102,P103,2
103,103,P104,1
104,104,P105,1
105,105,P106,4
106,106,P107,10
107,107,P108,0
108,108,P109,3
109,109,P110,3
110,110,P111,1
111,111,P112,22
112,112,P113,16
113,113,P114,3
114,114,P115,4
115,115,P116,4
116,116,P117,1
117,117,P118,4
118,118,P119,19
119,119,P120,16
120,120,P121,4
121,121,P122,1
122,122,P123,0
123,123,P124,0
124,124,P125,2
125,125,P126,0
126,126,P127,0
127,127,P128,18
128,128,P129,17
129,129,P130,15
130,130,P131,19
131,131,P132,20
132,132,P133,17
133,133,P134,19
134,134,P135,16
135,135,P136,16
136,136,P137,22
137,137,P138,19
138,138,P139,21
139,139,P140,19
140,140,P141,16
141,141,P142,16
142,142,P143,16
143,143,P144,2
144,144,P145,4
145,145,P146,3
146,146,P147,3
147,147,P148,0
148,148,P149,4
149,149,P150,0
150,150,P151,0
151,151,P152,3
152,152,P153,4
153,153,P154,2
154,154,P155,1
155,155,P156,0
156,156,P157,3
157,157,P158,0
158,158,P159,1
159,159,P160,3
160,160,P161,1
161,161,P162,2
162,162,P163,0
163,163,P164,1
164,164,P165,3
165,165,P166,4
166,166,P167,16
167,167,P168,18
168,168,P169,17
169,169,P170,14
170,170,P171,2
171,171,P172,18
172,172,P173,15
173,173,P174,19
174,174,P175,19
175,175,P176,13
176,176,P177,17
177,177,P178,19
178,178,P179,19
179,179,P180,12
180,180,P181,15
181,181,P182,15
182,182,P183,18
183,183,P184,15
184,184,P185,22
185,185,P186,20
186,186,P187,14
187,187,P188,16
188,188,P189,20
189,189,P190,21
190,190,P191,18
191,191,P192,15
192,192,P193,21
193,193,P194,19
194,194,P195,0
195,195,P196,18
196,196,P197,2
197,197,P198,3
198,198,P199,0
199,199,P200,5
200,200,P201,1
201,201,P202,5
202,202,P203,1
203,203,P204,0
204,204,P205,5
205,205,P206,0
206,206,P207,1
207,207,P208,15
208,208,P209,4
209,209,P210,4
210,210,P211,4
211,211,P212,0
212,212,P213,0
213,213,P214,0
214,214,P215,0
215,215,P216,0
216,216,P217,0
217,217,P218,0
218,218,P219,0
219,219,P220,0
220,220,P221,0
221,221,P222,0
222,222,P223,0
223,223,P224,0
224,224,P225,0
225,225,P226,0
226,226,P227,0
227,227,P228,0
228,228,P229,0
229,229,P230,0
230,230,P231,0
231,231,P232,0
232,232,P233,0
233,233,P234,0
234,234,P235,0
235,235,P236,0
236,236,P237,0
237,237,P238,0
238,238,P239,0
239,239,P240,0
240,240,P241,0
241,241,P242,0
242,242,P243,0
243,243,P244,0
244,244,P245,0
245,245,P246,0
246,246,P247,0
247,247,P248,0
248,248,P249,0
249,249,P250,0
250,250,P251,0
251,251,P252,0
252,252,P253,0
253,253,P254,0
254,254,P255,0
255,255,P256,0
256,256,P257,0
257,257,P258,0
258,258,P259,0
259,259,P260,0
260,260,P261,8
261,261,P262,13
262,262,P263,10
263,263,P264,4
264,264,P265,0
265,265,P266,2
266,266,P267,4
267,267,P268,9
268,268,P269,4
269,269,P270,10
270,270,P271,1
271,271,P272,0
272,272,P273,0
273,273,P274,0
274,274,P275,0
275,275,P276,0
276,276,P277,0
277,277,P278,0
278,278,P279,0
279,279,P280,0
280,280,P281,0
281,281,P282,0
282,282,P283,0
283,283,P284,8
284,284,P285,3
285,285,P286,4
286,286,P287,0
287,287,P288,0
288,288,P289,0
289,289,P290,0
290,290,P291,0
291,291,P292,1
292,292,P293,0
293,293,P294,2
294,294,P295,0
295,295,P296,0
296,296,P297,0
297,297,P298,0
298,298,P299,1
299,299,P300,0
300,300,P301,1
301,301,P302,0
302,302,P303,0
303,303,P304,3
304,304,P305,1
305,305,P306,1
306,306,P307,1
307,307,P308,0
308,308,P309,1
309,309,P310,0
310,310,P311,0
311,311,P312,0
312,312,P313,0
313,313,P314,2
314,314,P315,0
315,315,P316,1
316,316,P317,0
317,317,P318,0
318,318,P319,4
319,319,P320,0
320,320,P321,1
321,321,P322,0
322,322,P323,0
323,323,P324,3
324,324,P325,0
325,325,P326,0
326,326,P327,0
327,327,P328,0
328,328,P329,0
329,329,P330,0
330,330,P331,1
331,331,P332,4
332,332,P333,4
333,333,P334,2
334,334,P335,0
335,335,P336,0
336,336,P337,1
337,337,P338,0
338,338,P339,0
339,339,P340,0
340,340,P341,0
341,341,P342,0
342,342,P343,0
343,343,P344,0
344,344,P345,0
345,345,P346,0
346,346,P347,0
347,347,P348,0
348,348,P349,0
349,349,P350,0
350,350,P351,0
351,351,P352,0
352,352,P354,0
353,353,P355,0
354,354,P356,0
355,355,P357,0
356,356,P358,0
357,357,P359,1
358,358,P360,0
359,359,P361,0
360,360,P362,0
361,361,P363,0
362,362,P364,4
363,363,P365,1
364,364,P366,0
365,365,P367,0
366,366,P368,0
367,367,P369,1
368,368,P370,0
369,369,P371,0
370,370,P372,0
371,371,P373,0
372,372,P374,0
373,373,P375,0
374,374,P376,0
375,375,P377,0
376,376,P378,0
377,377,P379,0
378,378,P380,0
379,379,P381,0
380,380,P382,0
381,381,P383,0
382,382,P384,0
383,383,P386,0
384,384,P387,0
385,385,P388,0
386,386,P389,0
387,387,P390,0
388,388,P391,0
389,389,P392,1
390,390,P393,0
391,391,P394,0
392,392,P395,0
393,393,P396,0
394,394,P397,3
395,395,P398,4
396,396,P399,5
397,397,P400,6
398,398,P401,0
399,399,P402,0
400,400,P403,7
401,401,P404,3
402,402,P405,6
403,403,P406,5
404,404,P407,9
405,405,P408,4
406,406,P409,23
407,407,P410,6
408,408,P411,9
409,409,P412,1
410,410,P413,1
411,411,P414,0
412,412,P415,0
413,413,P416,0
414,414,P417,0
415,415,P418,0
416,416,P419,0
417,417,P420,0
418,418,P421,0
419,419,P422,0
420,420,P423,0
421,421,P424,0
422,422,P425,0
423,423,P426,0
424,424,P427,0
425,425,P428,0
426,426,P429,1
427,427,P430,5
428,428,P431,1
429,429,P432,2
430,430,P433,1
431,431,P434,0
432,432,P435,5
433,433,P436,2
434,434,P437,0
435,435,P438,0
436,436,P439,0
437,437,P440,0
438,438,P441,0
439,439,P442,0
440,440,P443,0
441,441,P444,0
442,442,P445,0
443,443,P446,0
444,444,P447,0
445,445,P448,0
446,446,P449,0
447,447,P450,0
448,448,P451,0
449,449,P452,0
450,450,P453,0
451,451,P454,0
452,452,P455,0
453,453,P456,0
454,454,P457,0
455,455,P458,0
456,456,P459,0
457,457,P460,0
458,458,P461,0
459,459,P462,0
460,460,P463,0
461,461,P464,0
462,462,P465,0
463,463,P466,0
464,464,P467,0
465,465,P468,0
466,466,P469,0
467,467,P470,0
468,468,P471,0
469,469,P472,0
470,470,P473,0
471,471,P474,0
472,472,P475,0
473,473,P476,0
474,474,P477,0
475,475,P478,0
476,476,P479,0
477,477,P480,0
478,478,P481,0
479,479,P482,0
480,480,P483,0
481,481,P484,1
482,482,P485,4
483,483,P486,9
484,484,P487,6
485,485,P488,4
486,486,P489,0
487,487,P490,2
488,488,P491,10
489,489,P492,2
490,490,P493,4
491,491,P494,4
492,492,P495,5
493,493,P496,3
494,494,P497,1
495,495,P498,1
496,496,P499,2
497,497,P500,2
498,498,P501,1
499,499,P502,3
500,500,P503,5
501,501,P504,4
502,502,P505,4
503,503,P506,4
504,504,P507,6
505,505,P508,3
506,506,P509,2
507,507,P510,2
508,508,P511,16
509,509,P512,8
510,510,P513,7
511,511,P514,4
512,512,P515,4
513,513,P516,9
514,514,P517,2
515,515,P518,3
516,516,P519,4
517,517,P520,3
518,518,P521,3
519,519,P522,4
520,520,P523,5
521,521,P524,3
522,522,P525,4
523,523,P526,8
524,524,P527,5
525,525,P528,2
526,526,P529,4
527,527,P530,6
528,528,P531,1
529,529,P532,3
530,530,P533,12
531,531,P534,2
532,532,P535,6
533,533,P536,3
534,534,P537,8
535,535,P538,6
536,536,P539,3
537,537,P540,6
538,538,P541,3
539,539,P542,4
540,540,P543,4
541,541,P544,3
542,542,P545,7
543,543,P546,3
544,544,P547,4
545,545,P548,17
546,546,P549,18
547,547,P550,4
548,548,P551,3
549,549,P552,3
550,550,P553,0
551,551,P554,10
552,552,P555,2
553,553,P556,6
554,554,P557,13
555,555,P558,5
556,556,P559,4
557,557,P560,3
558,558,P561,0
559,559,P562,0
560,560,P563,3
561,561,P564,4
562,562,P565,3
563,563,P566,7
564,564,P567,1
565,565,P568,0
566,566,P569,0
567,567,P570,0
568,568,P571,0
569,569,P572,0
570,570,P573,0
571,571,P574,0
572,572,P575,0
573,573,P576,0
574,574,P577,0
575,575,P578,0
576,576,P579,0
577,577,P580,0
578,578,P581,0
579,579,P582,0
580,580,P583,0
581,581,P584,0
582,582,P585,0
583,583,P586,2
584,584,P587,0
585,585,P588,0
586,586,P589,0
587,587,P590,0
588,588,P591,0
589,589,P592,0
590,590,P593,0
591,591,P594,0
592,592,P595,0
593,593,P596,1
594,594,P597,0
595,595,P598,2
596,596,P599,0
597,597,P600,0
598,598,P601,0
599,599,P602,0
600,600,P603,0
601,601,P604,0
602,602,P605,0
603,603,P606,0
604,604,P607,0
605,605,P608,0
606,606,P609,0
607,607,P610,0
608,608,P611,0
609,609,P612,5
610,610,P613,8
611,611,P614,1
612,612,P615,11
613,613,P616,1
614,614,P617,18
615,615,P618,21
616,616,P619,19
617,617,P620,19
618,618,P621,16
619,619,P622,19
620,620,P623,18
621,621,P624,2
622,622,P625,3
623,623,P626,4
624,624,P627,4
625,625,P628,3
626,626,P629,3
627,627,P630,3
628,628,P631,2
629,629,P632,3
630,630,P633,4
631,631,P634,1
632,632,P635,3
633,633,P636,3
634,634,P637,1
635,635,P638,4
636,636,P639,0
637,637,P640,8
638,638,P641,0
639,639,P642,0
640,640,P643,0
641,641,P644,0
642,642,P646,0
643,643,P647,0
644,644,P649,0
645,645,P650,0
646,646,P651,0
647,647,P652,0
648,648,P653,0
649,649,P654,0
650,650,P655,0
651,651,P656,0
652,652,P657,0
653,653,P658,0
654,654,P659,0
655,655,P660,0
656,656,P661,0
657,657,P662,0
658,658,P663,0
659,659,P664,0
660,660,P665,0
661,661,P666,0
662,662,P667,0
663,663,P668,0
664,664,P669,0
665,665,P670,0
666,666,P671,0
667,667,P672,0
668,668,P673,0
669,669,P674,2
670,670,P675,0
671,671,P676,0
672,672,P677,0
673,673,P678,0
674,674,P679,0
675,675,P680,0
676,676,P681,0
677,677,P682,0
678,678,P683,0
679,679,P684,0
680,680,P685,0
681,681,P686,0
682,682,P687,0
683,683,P688,0
684,684,P689,0
685,685,P690,0
686,686,P691,0
687,687,P692,0
688,688,P693,0
689,689,P694,0
690,690,P695,0
691,691,P696,0
692,692,P697,0
693,693,P698,0
694,694,P699,0
695,695,P700,0
696,696,P701,0
697,697,P702,1
698,698,P703,0
699,699,P704,0
700,700,P705,0
701,701,P706,0
702,702,P707,0
703,703,P708,0
704,704,P711,0
705,705,P712,0
706,706,P713,0
707,707,P714,0
708,708,P715,0
709,709,P716,0
710,710,P717,0
711,711,P718,0
712,712,P719,0
713,713,P720,0
714,714,P721,0
715,715,P722,0
716,716,P724,0
717,717,P726,0
718,718,P727,0
719,719,P728,0
720,720,P729,0
721,721,P730,0
722,722,P731,0
723,723,P732,0
724,724,P733,0
725,725,P734,0
726,726,P735,0
727,727,P736,0
728,728,P737,0
729,729,P738,0
730,730,P739,0
731,731,P740,0
732,732,P741,0
733,733,P742,0
734,734,P743,0
735,735,P744,0
736,736,P745,2
737,737,P746,0
738,738,P747,0
739,739,P748,0
740,740,P749,0
741,741,P750,0
742,742,P751,0
743,743,P752,0
744,744,P753,0
745,745,P754,0
746,746,P755,0
747,747,P756,0
748,748,P757,0
749,749,P758,0
750,750,P759,0
751,751,P760,0
752,752,P761,0
753,753,P762,0
754,754,P763,0
755,755,P764,0
756,756,P765,0
757,757,P766,0
758,758,P767,0
759,759,P768,0
760,760,P769,0
761,761,P770,0
762,762,P771,0
763,763,P772,0
764,764,P773,0
765,765,P774,0
766,766,P775,0
767,767,P776,0
768,768,P777,0
769,769,P778,0
770,770,P779,0
771,771,P780,0
772,772,P781,9
773,773,P782,0
774,774,P783,4
775,775,P784,1
776,776,P785,0
777,777,P786,0
778,778,P787,0
779,779,P788,0
780,780,P789,1
781,781,P790,0
782,782,P791,2
783,783,P792,0
784,784,P793,0
785,785,P794,0
786,786,P795,0
787,787,P796,0
788,788,P797,0
789,789,P798,0
790,790,P799,0
791,791,P800,0
792,792,P801,0
793,793,P802,0
794,794,P803,0
795,795,P804,0
796,796,P805,0
797,797,P806,2
798,798,P807,0
799,799,P808,0
800,800,P809,0
801,801,P810,0
802,802,P811,0
803,803,P812,0
804,804,P813,0
805,805,P814,0
806,806,P815,0
807,807,P816,0
808,808,P817,0
809,809,P818,0
810,810,P819,0
